transaction_id,date,region,product_id,product_category,units_sold,unit_price,discount_pct,revenue,customer_id
T001,Mar 22 2024,North,P031,Home & Garden,7.0,149.99,0.05,997.43,C013
T002,2024-01-15,East,P022,Apparel,6.0,99.99,0.15,509.95,C015
T003,Jan 04 2024,North,P007,Home & Garden,4.0,49.99,0.2,159.97,C004
T004,2024-02-05,North,P007,Home & Garden,2.0,49.99,0.2,79.98,C035
T005,2024-02-01,North,P031,Home & Garden,4.0,149.99,0.3,419.97,C007
T006,Jan 29 2024,East,P015,Sports & Fitness,8.0,79.99,0.3,447.94,C007
T007,2024-01-18,North,P015,Sports & Fitness,2.0,79.99,0.05,151.98,C028
T008,2024-01-14,North,P022,Apparel,2.0,99.99,0.15,169.98,C004
T009,03/27/2024,East,P031,Home & Garden,2.0,149.99,0.3,209.99,C031
T010,03/10/2024,North,P022,Apparel,3.0,99.99,,299.97,C019
T011,2024-01-12,South,P031,Home & Garden,8.0,149.99,0.05,1139.92,C038
T012,Mar 16 2024,East,P007,Home & Garden,1.0,49.99,0.0,49.99,C011
T013,2024-02-24,North,P031,HOME & GARDEN,3.0,149.99,0.0,449.97,C026
T014,Jan 05 2024,North,P031,Home & Garden,1.0,149.99,,149.99,C034
T015,Jan 04 2024,North,P015,Sports & Fitness,6.0,79.99,0.05,455.94,C020
T016,2024-01-12,South,P007,HOME & GARDEN,2.0,49.99,0.0,99.98,C023
T017,Jan 28 2024,West,P012,Electronics,3.0,299.99,0.15,764.97,C042
T018,Jan 30 2024,South,P031,Home & Garden,2.0,149.99,0.05,284.98,C036
T019,Mar 05 2024,North,P015,Sports & Fitness,6.0,79.99,0.05,455.94,C032
T020,2024-03-18,North,P007,HOME & GARDEN,,49.99,0.3,-49.99,C041
T021,Jan 04 2024,West,P012,Electronics,7.0,299.99,,2099.93,C010
T022,2024-03-12,South,P015,Sports & Fitness,3.0,79.99,,239.97,C023
T023,Jan 26 2024,North,P012,Electronics,6.0,299.99,0.3,1259.96,C048
T024,03/24/2024,North,P012,Electronics,3.0,299.99,,899.97,C027
T025,2024-03-30,East,P012,Electronics,2.0,299.99,0.15,509.98,C013
T026,03/10/2024,East,P022,Apparel,4.0,99.99,,399.96,C018
T027,2024-02-23,West,P015,Sports & Fitness,7.0,79.99,0.25,419.95,C008
T028,Jan 29 2024,West,P015,sports & fitness,5.0,79.99,,399.95,C021
T029,Feb 27 2024,South,P031,HOME & GARDEN,4.0,149.99,,599.96,C035
T030,Mar 16 2024,East,P012,Electronics,2.0,299.99,0.25,449.99,C008
T031,2024-02-05,East,P015,Sports & Fitness,7.0,79.99,0.1,503.94,C013
T032,2024-01-01,South,P022,Apparel,3.0,99.99,0.2,239.98,C020
T033,Jan 21 2024,North,P022,Apparel,6.0,99.99,0.15,509.95,C031
T034,2024-03-30,East,P012,Electronics,5.0,299.99,0.2,1199.96,C049
T035,02/24/2024,North,P015,Sports & Fitness,4.0,79.99,,319.96,C040
T036,2024-02-13,West,P007,Home & Garden,4.0,49.99,0.25,149.97,C010
T037,Feb 05 2024,East,P007,Home & Garden,2.0,49.99,0.3,69.99,C034
T038,Jan 20 2024,South,P031,Home & Garden,2.0,149.99,,299.98,C036
T039,2024-01-28,South,P022,Apparel,7.0,99.99,0.3,489.95,C048
T040,Feb 13 2024,West,P022,Apparel,4.0,99.99,0.3,279.97,C032
T041,Jan 14 2024,East,P015,Sports & Fitness,5.0,79.99,0.05,379.95,C006
T042,01/12/2024,North,P012,Electronics,3.0,299.99,0.25,674.98,C035
T043,Feb 18 2024,South,P007,Home & Garden,7.0,49.99,0.15,297.44,C002
T044,01/13/2024,West,P031,Home & Garden,1.0,149.99,0.1,134.99,C035
