trade_id,trader_id,ticker,trade_type,shares,price_per_share,total_value_usd,exchange,timestamp,sector,is_flagged
TRD00001,TR001,NVDA,Buy,5000,620.0,3100000.0,NASDAQ,2024-05-14 10:32:00,Technology,TRUE
TRD00002,TR001,NVDA,Sell,5000,710.0,3550000.0,NASDAQ,2024-05-22 09:45:00,Technology,TRUE
TRD00003,TR001,NVDA,Options Call,200,8.5,170000.0,CBOE,2024-05-13 11:15:00,Technology,TRUE
TRD00004,TR001,NVDA,Options Call,150,9.2,138000.0,CBOE,2024-05-13 14:22:00,Technology,TRUE
TRD00005,TR002,AAPL,Buy,1000,185.5,185500.0,NASDAQ,2024-07-10 09:35:00,Technology,TRUE
TRD00006,TR003,AAPL,Sell,1000,185.6,185600.0,NASDAQ,2024-07-10 09:36:00,Technology,TRUE
TRD00007,TR002,AAPL,Sell,1000,185.4,185400.0,NASDAQ,2024-07-10 10:12:00,Technology,TRUE
TRD00008,TR003,AAPL,Buy,1000,185.45,185450.0,NASDAQ,2024-07-10 10:13:00,Technology,TRUE
TRD00009,TR002,AAPL,Buy,800,185.55,148440.0,NASDAQ,2024-07-10 11:45:00,Technology,TRUE
TRD00010,TR003,AAPL,Sell,800,185.58,148464.0,NASDAQ,2024-07-10 11:46:00,Technology,TRUE
TRD00011,TR002,MSFT,Buy,500,415.2,207600.0,NASDAQ,2024-07-10 13:22:00,Technology,TRUE
TRD00012,TR003,MSFT,Sell,500,415.25,207625.0,NASDAQ,2024-07-10 13:23:00,Technology,TRUE
TRD00013,TR005,WMT,Buy,1317,175.0,230475.0,NYSE,2024-03-05 9:30:00,Retail,TRUE
TRD00014,TR006,WMT,Buy,1467,175.5,257458.5,NYSE,2024-03-05 10:33:00,Retail,TRUE
TRD00015,TR007,WMT,Buy,1204,176.0,211904.0,NYSE,2024-03-05 11:36:00,Retail,TRUE
TRD00016,TR008,WMT,Buy,1292,176.5,228038.0,NYSE,2024-03-05 12:39:00,Retail,TRUE
TRD00017,TR009,WMT,Buy,1195,177.0,211515.0,NYSE,2024-03-05 13:42:00,Retail,TRUE
TRD00018,TR005,WMT,Sell,1035,182.0,188370.0,NYSE,2024-03-05 14:00:00,Retail,TRUE
TRD00019,TR006,WMT,Sell,1398,181.7,254016.6,NYSE,2024-03-05 15:08:00,Retail,TRUE
TRD00020,TR007,WMT,Sell,1775,181.4,321985.0,NYSE,2024-03-05 14:16:00,Retail,TRUE
TRD00021,TR008,WMT,Sell,1942,181.1,351696.2,NYSE,2024-03-05 15:24:00,Retail,TRUE
TRD00022,TR009,WMT,Sell,1287,180.8,232689.6,NYSE,2024-03-05 14:32:00,Retail,TRUE
TRD00023,TR015,MSFT,Buy,1200,417.5,501000.0,NASDAQ,2024-09-12 18:45:00,Technology,TRUE
TRD00024,TR016,GOOGL,Sell,3000,166.8,500400.0,NASDAQ,2024-11-18 19:22:00,Technology,TRUE
TRD00025,TR017,AMZN,Buy,2500,188.2,470500.0,NASDAQ,2024-06-25 06:10:00,Technology,TRUE
TRD00026,TR018,META,Sell,1000,508.0,508000.0,NASDAQ,2024-08-14 05:55:00,Technology,TRUE
TRD00027,TR010,TSLA,Buy,5000,211.0,1055000.0,NASDAQ,2024-04-17 10:05:00,Technology,TRUE
TRD00028,TR010,TSLA,Buy,4000,212.5,850000.0,NASDAQ,2024-04-17 10:06:00,Technology,TRUE
TRD00029,TR010,TSLA,Sell,8500,213.8,1817300.0,NASDAQ,2024-04-17 10:08:00,Technology,TRUE
TRD00030,TR010,TSLA,Buy,3000,210.75,632250.0,NASDAQ,2024-04-17 10:15:00,Technology,TRUE
TRD00031,TR010,TSLA,Sell,3000,211.9,635700.0,NASDAQ,2024-04-17 10:16:00,Technology,TRUE
TRD00032,TR020,META,Sell,11,515.56,5671.16,NASDAQ,2024-05-24 09:45:00,Technology,FALSE
TRD00033,TR022,COST,Sell,437,766.6,335004.2,NASDAQ,2024-07-18 10:21:00,Retail,FALSE
TRD00034,TR031,MSFT,Buy,283,387.59,109687.97,NASDAQ,2024-08-29 10:14:00,Technology,FALSE
TRD00035,TR023,MSFT,Sell,366,387.18,141707.88,NASDAQ,2024-10-14 12:38:00,Technology,FALSE
TRD00036,TR045,MSFT,Sell,390,388.43,151487.7,NASDAQ,2024-06-18 15:05:00,Technology,FALSE
TRD00037,TR017,NFLX,Buy,479,621.12,297516.48,NASDAQ,2024-10-03 09:44:00,Technology,FALSE
TRD00038,TR046,MSFT,Sell,38,405.13,15394.94,NASDAQ,2024-07-26 15:37:00,Technology,FALSE
TRD00039,TR049,META,Sell,251,484.62,121639.62,NASDAQ,2024-07-26 14:08:00,Technology,FALSE
TRD00040,TR035,AAPL,Buy,36,198.24,7136.64,NASDAQ,2024-09-11 14:02:00,Technology,FALSE
TRD00041,TR033,COST,Buy,141,787.15,110988.15,NASDAQ,2024-09-16 13:44:00,Retail,FALSE
TRD00042,TR042,AAPL,Buy,85,189.46,16104.1,NASDAQ,2024-06-03 13:05:00,Technology,FALSE
TRD00043,TR012,WMT,Buy,482,174.59,84152.38,NYSE,2024-08-01 13:00:00,Retail,FALSE
TRD00044,TR014,COST,Buy,368,727.83,267841.44,NASDAQ,2024-01-08 10:05:00,Retail,FALSE
TRD00045,TR040,MSFT,Buy,62,439.17,27228.54,NASDAQ,2024-03-11 10:16:00,Technology,FALSE
TRD00046,TR024,COST,Sell,94,769.43,72326.42,NASDAQ,2024-03-18 09:57:00,Retail,FALSE
TRD00047,TR025,XOM,Buy,305,105.03,32034.15,NYSE,2024-12-31 14:38:00,Energy,FALSE
TRD00048,TR037,BAC,Sell,439,35.04,15382.56,NYSE,2024-02-23 12:39:00,Finance,FALSE
TRD00049,TR037,TSLA,Buy,242,211.38,51153.96,NASDAQ,2024-04-08 09:45:00,Technology,FALSE
TRD00050,TR015,AAPL,Sell,14,170.76,2390.64,NASDAQ,2024-02-19 14:56:00,Technology,FALSE
TRD00051,TR017,META,Buy,408,481.09,196284.72,NASDAQ,2024-08-06 10:06:00,Technology,FALSE
TRD00052,TR035,TSLA,Buy,282,208.66,58842.12,NASDAQ,2024-12-23 15:49:00,Technology,FALSE
TRD00053,TR036,AMZN,Buy,442,196.17,86707.14,NASDAQ,2024-05-09 11:55:00,Technology,FALSE
TRD00054,TR016,WMT,Buy,477,175.66,83789.82,NYSE,2024-04-10 15:17:00,Retail,FALSE
TRD00055,TR034,COST,Buy,393,756.23,297198.39,NASDAQ,2024-12-02 13:25:00,Retail,FALSE
TRD00056,TR043,META,Buy,203,496.95,100880.85,NASDAQ,2024-10-15 15:45:00,Technology,FALSE
TRD00057,TR030,MSFT,Buy,84,400.01,33600.84,NASDAQ,2024-03-12 11:59:00,Technology,FALSE
TRD00058,TR014,AMZN,Sell,329,197.17,64868.93,NASDAQ,2024-10-15 13:43:00,Technology,FALSE
TRD00059,TR048,AAPL,Sell,71,185.82,13193.22,NASDAQ,2024-11-25 14:52:00,Technology,FALSE
TRD00060,TR019,TSLA,Buy,40,219.89,8795.6,NASDAQ,2024-12-16 13:46:00,Technology,FALSE
TRD00061,TR050,NFLX,Buy,460,670.51,308434.6,NASDAQ,2024-12-26 11:05:00,Technology,FALSE
TRD00062,TR034,BAC,Buy,34,35.82,1217.88,NYSE,2024-08-19 14:53:00,Finance,FALSE
TRD00063,TR020,BAC,Sell,445,34.47,15339.15,NYSE,2024-02-12 12:00:00,Finance,FALSE
TRD00064,TR018,AAPL,Sell,29,181.33,5258.57,NASDAQ,2024-11-25 15:16:00,Technology,FALSE
TRD00065,TR049,TSLA,Sell,287,214.47,61552.89,NASDAQ,2024-12-09 09:31:00,Technology,FALSE
TRD00066,TR046,JNJ,Buy,101,152.23,15375.23,NYSE,2024-09-04 10:34:00,Healthcare,FALSE
TRD00067,TR047,COST,Buy,250,757.72,189430.0,NASDAQ,2024-04-29 10:31:00,Retail,FALSE
TRD00068,TR047,JPM,Buy,387,208.72,80774.64,NYSE,2024-12-04 15:35:00,Finance,FALSE
TRD00069,TR023,JPM,Sell,412,201.13,82865.56,NYSE,2024-11-11 14:41:00,Finance,FALSE
TRD00070,TR030,XOM,Buy,339,107.83,36554.37,NYSE,2024-08-08 10:32:00,Energy,FALSE
TRD00071,TR043,NVDA,Sell,140,711.0,99540.0,NASDAQ,2024-07-01 15:14:00,Technology,FALSE
TRD00072,TR021,NVDA,Buy,279,698.51,194884.29,NASDAQ,2024-08-19 11:19:00,Technology,FALSE
TRD00073,TR042,AMZN,Buy,255,190.8,48654.0,NASDAQ,2024-10-28 14:04:00,Technology,FALSE
TRD00074,TR028,TSLA,Buy,475,199.01,94529.75,NASDAQ,2024-06-03 13:26:00,Technology,FALSE
TRD00075,TR038,META,Buy,363,507.02,184048.26,NASDAQ,2024-07-24 15:51:00,Technology,FALSE
TRD00076,TR017,XOM,Sell,192,104.0,19968.0,NYSE,2024-09-02 12:58:00,Energy,FALSE
TRD00077,TR035,GOOGL,Sell,229,161.99,37095.71,NASDAQ,2024-11-11 15:16:00,Technology,FALSE
TRD00078,TR012,NFLX,Buy,234,605.51,141689.34,NASDAQ,2024-09-19 15:28:00,Technology,FALSE
TRD00079,TR047,AAPL,Buy,179,187.26,33519.54,NASDAQ,2024-07-11 14:17:00,Technology,FALSE
TRD00080,TR049,WMT,Buy,84,164.08,13782.72,NYSE,2024-03-05 12:44:00,Retail,FALSE
TRD00081,TR020,GOOGL,Sell,160,153.06,24489.6,NASDAQ,2024-06-25 11:05:00,Technology,FALSE
TRD00082,TR027,COST,Sell,178,763.77,135951.06,NASDAQ,2024-08-07 14:01:00,Retail,FALSE
TRD00083,TR041,NFLX,Buy,128,585.08,74890.24,NASDAQ,2024-04-15 14:40:00,Technology,FALSE
TRD00084,TR048,AAPL,Buy,64,197.99,12671.36,NASDAQ,2024-11-11 12:58:00,Technology,FALSE
TRD00085,TR012,MSFT,Buy,259,383.79,99401.61,NASDAQ,2024-08-28 11:25:00,Technology,FALSE
TRD00086,TR045,MSFT,Sell,195,439.64,85729.8,NASDAQ,2024-09-23 10:37:00,Technology,FALSE
TRD00087,TR013,XOM,Sell,497,107.74,53546.78,NYSE,2024-03-26 10:53:00,Energy,FALSE
TRD00088,TR046,COST,Buy,495,696.48,344757.6,NASDAQ,2024-06-05 09:47:00,Retail,FALSE
TRD00089,TR045,MSFT,Buy,336,416.46,139930.56,NASDAQ,2024-08-19 14:42:00,Technology,FALSE
TRD00090,TR041,AMZN,Buy,239,173.58,41485.62,NASDAQ,2024-07-16 14:26:00,Technology,FALSE
TRD00091,TR048,BAC,Sell,72,32.74,2357.28,NYSE,2024-11-25 12:14:00,Finance,FALSE
TRD00092,TR029,COST,Buy,391,764.22,298810.02,NASDAQ,2024-05-15 11:30:00,Retail,FALSE
TRD00093,TR034,JNJ,Buy,32,150.4,4812.8,NYSE,2024-01-15 13:15:00,Healthcare,FALSE
TRD00094,TR049,WMT,Buy,451,184.77,83331.27,NYSE,2024-02-19 10:46:00,Retail,FALSE
TRD00095,TR038,AMZN,Sell,166,188.01,31209.66,NASDAQ,2024-06-19 10:59:00,Technology,FALSE
TRD00096,TR018,XOM,Sell,305,102.2,31171.0,NYSE,2024-09-12 10:25:00,Energy,FALSE
